loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
4.16427001953125,38.59903335571289,4.000000000000001e-06,0.7692307692307693,5,,,,,,,,,,
,,,1.0,7,2.0608909130096436,0.9625668449197861,7.1497,1.399,0.42,,,,,
3.269672393798828,31.3306827545166,9e-06,1.4615384615384617,10,,,,,,,,,,
,,,2.0,14,1.924798607826233,0.9037433155080213,3.2791,3.05,0.915,,,,,
2.974848175048828,30.63540267944336,6.363636363636364e-06,2.1538461538461537,15,,,,,,,,,,
2.9430057525634767,27.65457534790039,1.8181818181818183e-06,2.9230769230769234,20,,,,,,,,,,
,,,3.0,21,1.8874750137329102,0.9144385026737968,3.4546,2.895,0.868,,,,,
,,,3.0,21,,,,,,51.9734,2.886,0.404,3692832768000000.0,3.2591317551476613
